theme,description,profile_link,author,github_stars,updated,license,theme_tags,theme-repo,theme-ref
"
Academia Hugo
","
The website builder for Hugo. Build *anything* with widgets and deploy with one click! Fully personalize your site with themes, plugins, and language packs.
",https://d33wubrfki0l68.cloudfront.net/e177903bdab9c8ec55e61860f530b35d59bd10b0/64dc3/themes/academia-hugo/screenshot_hub5e9edd9f1f6717e4545a90cfadcc4ac_738415_750x500_fill_catmullrom_top_3.png,"
Themefisher
","
121
","
2020-07-05
","
MIT
","['\nBlog\n', '\nCompany\n', '\nContact\n', '\nDark\n', '\nDocs\n', '\nGallery\n', '\nLanding\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nPersonal\n', '\nPortfolio\n', '\nResponsive\n']",https://github.com/themefisher/academia-hugo/issues,https://themes.gohugo.io/themes/academia-hugo/
"
Bigspring Light
","
Bigspring is a web development company Hugo theme. It is very stylish, responsive and ready to use theme. You can use this theme to create your contemporary web design studio, creative agency, advertising firm website. This theme has a very creative and well decorated landing page, Blog page, Contact page, Pricing page and many more.
",https://d33wubrfki0l68.cloudfront.net/5ea9b58466d0a8feb4385e9fd23c8973f7bc17f2/aefcc/themes/bigspring-hugo-startup-theme/screenshot_huc44ad0ae3a2a3eb25b783ea5f276761e_304396_750x500_fill_catmullrom_top_3.png,"
Themefisher
","
100
","
2022-01-01
","
MIT
","['\nBlog\n', '\nBootstrap\n', '\nContact\n', '\nLanding\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nResponsive\n']",https://github.com/themefisher/bigspring-hugo/graphs/contributors,https://themes.gohugo.io/themes/bigspring-hugo-startup-theme/
"
Now UI
","
An elegant open-source and mobile-first theme
",https://d33wubrfki0l68.cloudfront.net/136c0f71f8a1aa098ff999e89d571e6a73b72a0a/5e31f/themes/hugo-now-ui/screenshot_hud91358b3173e41a4362eb19ff787bb9e_1849183_750x500_fill_catmullrom_top_3.png,"
Carl Boettiger
","
100
","
2020-09-28
","
MIT
",['\nBootstrap\n'],https://github.com/cboettig/hugo-now-ui/archive/master.zip,https://themes.gohugo.io/themes/hugo-now-ui/
"
Avicenna
","
A minimal, simple, and responsive academic page.
",https://d33wubrfki0l68.cloudfront.net/aa07445146ac29ca8792d2c7c85401a736aa8b68/c194c/themes/avicenna/screenshot_hu64c3ce7dc23d26fa166dcf7d932561cc_160682_750x500_fill_catmullrom_top_3.png,"
Hadi Sinaee
","
98
","
2021-08-02
","
MIT
","['\nMinimal\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/hadisinaee/avicenna,https://themes.gohugo.io/themes/avicenna/
"
Hugo Scroll
","
A Hugo theme for pretty, quick and simple single-page websites.
",https://d33wubrfki0l68.cloudfront.net/008b08565b2e300f08398c1d917b2f43592741c4/92666/themes/hugo-scroll/screenshot_hu65e78875b4247fc08e9302ad03161631_862686_750x500_fill_catmullrom_top_3.png,"
Jan Raasch
","
78
","
2021-12-07
","
MIT
","['\nContact\n', '\nLanding\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/janraasch/hugo-scroll/tree/master/exampleSite,https://themes.gohugo.io/themes/hugo-scroll/
"
Shell
","
Hugo Shell theme : Terminal-like theme with selectable color schemes.
",https://d33wubrfki0l68.cloudfront.net/90f80da2b7971722251e17963acec7a77ff7bc43/477c4/themes/hugo-theme-shell/screenshot_hu3723f589873526acaea4bb7fc1605422_74474_750x500_fill_catmullrom_top_3.png,"
Yukuro
","
72
","
2021-11-30
","
MIT
","['\nDark\n', '\nLight\n', '\nMinimal\n', '\nPersonal\n', '\nPortfolio\n', '\nResponsive\n']",https://github.com/Yukuro/goph-to-stylesheet,https://themes.gohugo.io/themes/hugo-theme-shell/
"
Hugo ReFresh
","
A re-adaptation of the Hugo Fresh theme
",https://d33wubrfki0l68.cloudfront.net/2bceb2458d1ba0311f5c01235043da9f89c0dabd/cbbad/themes/hugo-refresh/screenshot_hu39f40f3da2f7b5228c9707313ab6fec5_89282_750x500_fill_catmullrom_top_3.png,"
Roberto Jordaney
","
100
","
2021-05-04
","
MIT
","['\nBlog\n', '\nLight\n', '\nMultilingual\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/wcoder/highlightjs-line-numbers.js/,https://themes.gohugo.io/themes/hugo-refresh/
"
Manis
","
Sweet little theme for personal website or blog
",https://d33wubrfki0l68.cloudfront.net/f61b741ed1c20aecce48771f1f81f5c022cb41d7/e36d2/themes/manis-hugo-theme/screenshot_hu5a880bb125b561d7e895e2eb6615f427_35326_750x500_fill_catmullrom_top_3.png,"
Yurizal Susanto
","
80
","
2022-01-10
","
MIT
","['\nBlog\n', '\nLight\n', '\nMinimal\n', '\nPersonal\n']",https://github.com/yursan9/manis-hugo-theme/blob/master/LICENSE.md,https://themes.gohugo.io/themes/manis-hugo-theme/
"
Swift
","
A simple open source theme for publishing with hugo
",https://d33wubrfki0l68.cloudfront.net/34e9362e0b5956080f70e0764a5fb0c849a9dd31/2e80f/themes/hugo-swift-theme/screenshot_hua8d138836356d95377ca40aece93c433_111626_750x500_fill_catmullrom_top_3.png,"
weru
","
97
","
2020-11-01
","
MIT
","['\nBlog\n', '\nDark\n', '\nLight\n', '\nMinimal\n']",https://github.com/onweru/hugo-swift-theme/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-swift-theme/
"
Hugo - Classic
","
A minimal blog theme, for those who love text. Based off the eXtremely minimal theme by Yihui Xui.
",https://d33wubrfki0l68.cloudfront.net/4ff53e5867f0849259df1e7776406e395901593c/6e72e/themes/hugo-classic/screenshot_hu886922a30a7ae7dd71dc699ec6f7885f_551552_750x500_fill_catmullrom_top_3.png,"
Kellen Evan Person
","
99
","
2021-09-15
","
MIT
","['\nBlog\n', '\nMinimal\n', '\nPersonal\n']",https://github.com/goodroot/hugo-classic,https://themes.gohugo.io/themes/hugo-classic/
"
Changelog Theme
","
Theme to display a changelog
",https://d33wubrfki0l68.cloudfront.net/619bd75731d1fe7e9b19014b29041a3752b460e4/c5547/themes/hugo-changelog-theme/screenshot_hufc195d82695671f4e7c3354af1b108e3_81095_750x500_fill_catmullrom_top_3.png,"
Yauhen Shulitski
","
98
","
2021-01-04
","
MIT
",[],https://github.com/jsnjack/hugo-changelog-theme,https://themes.gohugo.io/themes/hugo-changelog-theme/
"
Massively
","
An elegant open-source and mobile-first theme
",https://d33wubrfki0l68.cloudfront.net/a85fac4379e289bba9c16e75cdb6db2f1d00a865/81c95/themes/hugo-theme-massively/screenshot_huf713936ebccff0f98083936503221f97_1785863_750x500_fill_catmullrom_top_3.png,"
Curtis Timson
","
96
","
2020-02-18
","
Creative Commons
",['\nBlog\n'],https://github.com/curttimson/hugo-theme-massively/blob/master/i18n/es.toml,https://themes.gohugo.io/themes/hugo-theme-massively/
"
Chunky Poster
","
A simple, bootstrap 4 based blog theme.
",https://d33wubrfki0l68.cloudfront.net/7ee82acfb452f53176bfc9335202d22e5807c94d/1bad2/themes/hugo-theme-chunky-poster/screenshot_huc49c3620cc679916957cd9bb1d61fc44_338652_750x500_fill_catmullrom_top_3.png,"
virtualcursor
","
96
","
2020-04-04
","
MIT
","['\nBlog\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nResponsive\n']",https://github.com/zhaohuabing/hugo-theme-cleanwhite,https://themes.gohugo.io/themes/hugo-theme-chunky-poster/
"
pulp
","
Pulp is a Hugo theme for getting a simple, easy-to-read blog site.
",https://d33wubrfki0l68.cloudfront.net/a9879d60e582969d949549e41db241506744c48c/cf93e/themes/pulp/screenshot_hubffe2d4d3e1b686fc3fa22f3e4493c03_88916_750x500_fill_catmullrom_top_3.png,"
koirand
","
102
","
2020-11-01
","
MIT
","['\nBlog\n', '\nLight\n', '\nMinimal\n', '\nPersonal\n']",https://github.com/koirand/pulp,https://themes.gohugo.io/themes/pulp/
"
Somrat
","
Portfolio Template (Archived)
",https://d33wubrfki0l68.cloudfront.net/5968108c0baf7d1cdf23c4ec4538a7f4244f5316/64e65/themes/somrat/screenshot_hu8e21d236e37c004b8f8ef7f96010a0f2_113391_750x500_fill_catmullrom_top_3.png,"
somrat
","
92
","
2021-02-13
","
MIT
","['\nBlog\n', '\nBootstrap\n', '\nContact\n', '\nDark\n', '\nLanding\n', '\nLight\n', '\nMinimal\n', '\nPortfolio\n', '\nResponsive\n']",https://github.com/somratpro/somrat/archive/master.zip,https://themes.gohugo.io/themes/somrat/
"
Basic
","
Basic blog theme styled with minimal tachyons
",https://d33wubrfki0l68.cloudfront.net/ac43ee34ab062b1b069df978b989e741e7fb42bc/7363a/themes/hugo-theme-basic/screenshot_hu806b7569355ee6db7dc0d1c577b08806_125076_750x500_fill_catmullrom_top_3.png,"
Stephen Siegert
","
98
","
2020-05-21
","
MIT
","['\nBlog\n', '\nMinimal\n', '\nResponsive\n']",https://github.com/siegerts/hugo-theme-basic/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-theme-basic/
"
mediumish
","
An elegant, mediumish theme for gohugo
",https://d33wubrfki0l68.cloudfront.net/ae14d6848dac82692efe6e24560efdbdfc533d26/d889f/themes/mediumish-gohugo-theme/screenshot_hu184468a307933db4ab96b7b77cb9c15b_675178_750x500_fill_catmullrom_top_3.png,"
lgaida
","
97
","
2021-08-12
","
MIT
","['\nBlog\n', '\nMinimal\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/lgaida/mediumish-gohugo-theme-demo,https://themes.gohugo.io/themes/mediumish-gohugo-theme/
